40000 B.C.  	Cro-Magnon man (homo sapiens) is active in Europe and the Middle East.
1486      	The Aztecs found the city of Oaxaca in Mexico.
1486      	The first major book on witchcraft Hammer of Sorceresses is published in Germany.
1487      	Quito becomes the northern capital of the Inca empire.
1488      	Bartolomeu Dias becomes the first European to round the Cape of Good Hope.
1488      	Italian philosopher Pico della Mirandola is imprisoned for heresy.
1489      	Venice gains control of the island of Cyprus.
1490      	Ballet originates in Italy about this time.
1490      	Italian printer Aldus Manutius establishes the Aldine Press in Venice.
1490      	Papal singer and composer Josquin des Prez is active during this period.
1492      	Christopher Columbus sails from Spain to the New World.
1492      	Ferdinand II conquers Granada, ending the Muslim influence in Spain.
1492      	German geographer Martin Benhaim makes the first terrestrial globe.
1492      	Spanish Jews are given 3 months to become Christians or to leave the country.
1493      	Maximilian I succeeds Frederick III as Holy Roman Emperor.
1494      	Charles VIII of France invades Italy, beginning the Italian Wars.
1494      	German artist Albrecht Durer travels from Nuremberg to Italy.
1494      	German satirist Sebastian Brant writes the Ship of Fools.
1494      	The Treaty of Tordesillas establishes a boundary between New World discoveries.
1495      	French king Charles VIII is crowned at Naples.
1495      	Leonardo da Vinci begins painting The Last Supper in Milan.
1495      	Printed editions of the Greek classics becomes available in Europe.
1495      	The Jews are expelled from Portugal.
1496      	The first description of the tobacco plant appears in Europe.
1497      	Italian explorer John Cabot discovers Newfoundland for England.
1498      	Columbus lands on the coast of South America during his third voyage.
1498      	Louis XII succeeds Charles VIII as king of France.
1498      	Michelangelo begins sculpting the Pieta for St. Peter's Church in Rome.
1498      	Portuguese explorer Vasco da Gama reaches India.
1498      	The toothbrush is invented by a Chinese dentist.
1499      	French forces under Louis XII capture Milan.
1499      	Perkin Warbeck, pretender to the English throne, is executed by Henry VII.
1499      	Venetian artist Giorgione paints Portrait of a Young Man.
1500      	Dutch artist Hieronymus Bosch paints The Garden of Earthly Delights.
1500      	Portuguese navigator Pedro Cabral lays claim to Brazil for Portugal.
1501      	France and Spain divide the Kingdom of Naples.
1501      	Italian navigator Amerigo Vespucci explores Brazil.
1502      	A Portuguese trading post is established at Cochin in India.
1502      	A peace treaty is established between Venice and the Ottoman Turks.
1502      	Columbus sails on his fourth voyage of discovery.
1502      	Shah Ismail founds the Safavid dynasty; Shiism becomes the religion of Persia (Iran).
1503      	Arquebuses (handguns) help the Spanish defeat the French in Italy.
1503      	Juan Bermudez lands on the island of Bermuda, which is named for him.
1503      	Leonardo da Vinci begins painting the Mona Lisa.
1503      	Spanish general Fernandez de Cordoba forces the French to abandon Naples.
1503      	The Spanish crown approves encomienda (enforced slavery) in the American colonies.
1504      	Babur occupies Kabul and establishes a kingdom in Afghanistan.
1504      	Italian artist Raphael paints The Marriage of the Virgin.
1505      	Christian king Alfonso I (Nzinga Mbemba) rules the Kingdom of Kongo.
1505      	The Portuguese colonize Mozambique and arrive at Ceylon (Sri Lanka).
1506      	Christopher Columbus dies in poverty.
1506      	Italian architect Bramante begins the plans for St. Peters in Rome.
1507      	Cartographer Martin Waldseemuller uses the word America on a map for the first time.
1508      	Michelangelo begins painting the ceiling of the Sistine Chapel in Rome.
1508      	The League of Cambrai is formed to oppose Venice.
1509      	Dutch scholar Erasmus writes The Praise of Folly.
1509      	Henry VIII succeeds his father Henry VII as king of England.
1509      	The first sugar cane mill is established in the Americas.
1509      	Venice is defeated by the League of Cambrai at Agnadello.
1510      	Spain conquers Tripoli in North Africa.
1510      	The English morality play Everyman is adapted from an earlier Dutch work.
1510      	The Polygraphia, the first printed work on cryptology, is published in Germany.
1510      	The Portuguese colony of Goa is founded on the coast of India.
1511      	German artist Matthias Grunewald begins painting the Isenheim Altarpiece.
1511      	Pope Julius II organizes a Holy League against Louis XII of France.
1511      	The Portuguese become the first Europeans to reach Siam (Thailand).
1511      	The Portuguese capture Malacca (now Melaka) in Malaysia.
1512      	Albrecht Durer is appointed court painter to Holy Roman Emperor Maximilian I.
1512      	Selim I becomes Sultan of the Ottoman Empire.
1512      	The Habsburgs reinstate the Medicis as the rulers of Florence.
1513      	Italian political theorist Niccolo Machiavelli writes The Prince.
1513      	Louis XII is defeated by the Holy League; French forces are expelled from Italy.
1513      	Spanish explorer Juan Ponce de Leon lands on the coast of Florida.
1513      	Vasco Nunez de Balboa becomes the first European to sight the Pacific Ocean.
1514      	Bartolome de Las Casas tries to improve the treatment of South American Indians.
1514      	Italian artist Raphael becomes the chief architect of St. Peter's in Rome.
1514      	Spanish conquistadors under Diego Velazquez de Cuellar conquer Cuba.
1514      	The Turks defeat the Persians at the Battle of Chaldiran.
1515      	Italian artist Michelangelo sculpts his monumental statue of Moses.
1515      	The French defeat the Habsburgs and their allies at the Battle of Marignano.
1515      	The building of Hampton Court is begun in England.
1515      	Thomas Wolsey is appointed Lord Chancellor of England.
1516      	Charles I succeeds Ferdinand II as king of Spain.
1516      	English intellectual and statesman Sir Thomas More writes Utopia.
1516      	Milan is ceded to France by the Treaty of Noyon.
1516      	The Ottoman Turks capture Algiers in North Africa.
1517      	Andrea del Sarto paints the Madonna of the Harpies.
1517      	The Turks defeat the Mamelukes for possession of Syria and Egypt.
1517      	Theologian Martin Luther displays his 95 theses at Wittenberg in Germany.
1518      	Spanish conquistador Pedro de Alvarado explores the Yucatan Peninsula.
1519      	Charles I of Spain succeeds Maximilian I as Holy Roman Emperor Charles V.
1519      	Chocolate is introduced into Spain as a beverage.
1519      	Panama City is founded by the Spanish in Central America.
1519      	Spanish conquistador Hernan Cortes meets the Aztec leader Montezuma in Mexico.
1519      	Ulrich Zwingli leads the Reformation in Switzerland.
1520      	Corn (Zea mays) is imported into Spain from the West Indies.
1520      	Francis I meets Henry VIII at the Field of the Cloth of Gold in Calais, France.
1520      	King Christian II of Denmark conquers Sweden.
1520      	Portuguese navigator Ferdinand Magellan discovers the Strait of Magellan.
1520      	Suleiman I (the Magnificent) succeeds Selim I as Sultan of the Ottoman Empire.
1520      	The earliest state lottery is organized in France.
1521      	Martin Luther is excommunicated as a heretic at the Diet of Worms.
1521      	Portuguese navigator Ferdinand Magellan is killed by natives in the Philippines.
1521      	Spanish conquistador Hernan Cortes conquers the Aztec capital of Tenochtitlan.
1522      	Jean Clouet becomes the court painter to Francis I of France.
1522      	Magellan's crew aboard the Victoria complete the first global circumnavigation.
1523      	Gustav I drives out the Danes to become King of Sweden.
1523      	Spanish settlements are established in Venezuela.
1523      	Venetian artist Titian paints Bacchus and Ariadne.
1524      	Giovanni da Verrazano discovers New York Bay and the Hudson River.
1524      	The Peasants' War breaks out in central Europe.
1525      	Holy Roman Emperor Charles V defeats and captures Francis I at the Battle of Pavia.
1526      	Babur founds the Mogul dynasty in India, ending the Delhi Sultanate.
1526      	Correggio paints the Assumption of the Virgin in Parma Cathedral.
1526      	The Turks defeat the Hungarians at the Battle of Mohacs; King Louis II is killed.
1526      	The domains of Hungary and Bohemia are inherited by the Habsburgs.
1527      	German physician Paracelsus lectures on medicine at Basel in Switzerland.
1527      	Italian courtier Baldassare Castiglione writes The Book of the Courtier.
1527      	Rome is sacked by the Spanish and Habsburg armies.
1528      	The building of the Chateau de Fontainebleau is begun in France.
1529      	Henry VIII dismisses Cardinal Wolsey for failing to secure his divorce.
1529      	The Ottoman Turks besiege Vienna.
1530      	Humayun succeeds Babur as Mogul emperor.
1530      	The Hospitalers (Knights of St. John) are granted Malta by Charles V.
1530      	The Lutheran confession of faith is issued at the Diet of Augsburg.
1531      	Religious war begins in Switzerland; Protestant leader Zwingli is killed in battle.
1531      	The League of Schmalkald is formed as an alliance of Protestant German rulers.
1532      	French scholar Francois Rabelais begins the publication of Gargantua and Pantagruel.
1532      	Thomas Cromwell becomes chief minister to Henry VIII of England.
1533      	Catherine de Medicis introduces the Italian balleto into France as the ballet.
1533      	Catherine de Medicis marries Henry II, the future king of France.
1533      	Francisco Pizarro conquers the Incas in Peru; the Inca leader Atahulpa is executed.
1533      	German artist Hans Holbein the Younger paints The Ambassadors.
1533      	Henry VIII divorces Catherine of Aragon and marries Anne Boleyn.
1533      	The Church of England breaks with Rome.
1534      	Anabaptists seize the city of Munster in Germany.
1534      	Martin Luther completes his translation of the Bible into German.
1535      	English humanist and statesman Thomas More is executed.
1535      	French explorer Jacques Cartier navigates the St. Lawrence River in Canada.
1535      	Spanish conquistador Diego de Almagro discovers Chile.
1535      	Spanish conquistador Francisco Pizarro founds the city of Lima in Peru.
1535      	Suleiman I completes the conquest of the last Arab domains in Mesopotamia.
1535      	The Spanish discover the Galapagos Islands.
1536      	Christian III establishes the state Lutheran church of Denmark and Norway.
1536      	Dissolution of the monasteries and nunneries begins in England.
1536      	English reformer William Tyndale is burned at the stake for heresy.
1536      	French theologian John Calvin publishes his Institutes of the Christian Religion.
1536      	Henry VIII executes Anne Boleyn and marries Jane Seymour.
1536      	Spanish conquistador Pedro de Mendoza founds Buenos Aries in Argentina.
1537      	Kempe Gowda founds the city of Bangalore in India.
1537      	Niccolo Tartaglia publishes his work on ballistics The New Science.
1538      	Italian artist Benvenuto Cellini begins his Autobiography.
1538      	The Spanish found the city of Bogota in Columbia.
1539      	Afghan ruler Sher Shah defeats the Mogul emperor Humayun.
1540      	Coronado explores the American southwest in search of the fabled cities of Cibola.
1540      	Henry VIII executes his principal minister Thomas Cromwell.
1540      	Henry VIII marries Anne of Cleves; he is divorced and marries Catherine Howard.
1540      	Hernando de Soto defeats the Choctaw Indians under Chief Tuscaloosa.
1540      	The Grand Canyon is discovered by Garcia Lopez de Cardenas.
1540      	The Order of Jesuits is inaugurated under Ignatius Loyola.
1541      	Geneva becomes the center of Calvinism.
1541      	Spanish conquistador Pedro de Valdivia founds the city of Santiago in Chile.
1541      	Spanish explorer Hernando de Soto discovers the Mississippi River.
1542      	Catherine Howard is executed by Henry VIII.
1542      	Spanish explorer Francisco de Orellana discovers the Amazon River.
1542      	The infant Mary Stuart succeeds James V as queen of Scotland.
1543      	Anatomist Andreas Vesalius publishes On the Structure of the Human Body.
1543      	Henry VIII marries Catherine Parr, his sixth wife.
1543      	Nicolaus Copernicus' On the Revolutions of the Heavenly Spheres is published.
1543      	Portuguese explorers land in Japan.
1543      	The first botanical garden is founded in Pisa.
1543      	The first single-cast cannon is made in England.
1544      	French surgeon Ambroise Pare publishes his book on surgical treatments.
1545      	Henry VIII's warship the Mary Rose sinks near Portsmouth in England.
1545      	Mathematician Gerolamo Cardano publishes his treatise The Great Art.
1545      	Pope Paul III opens the Council of Trent to reform the Catholic Church.
1545      	Silver mines are discovered in Bolivia; the city of Potosi is founded.
1546      	Francis I commissions Pierre Lescot to begin the design of the Louvre art museum.
1546      	German physician Georgius Agricola publishes On the Nature of Fossils.
1546      	Physician Girolamo Fracastoro describes the transmission of disease by living germs.
1546      	Turkish pirate leader Barbarossa dies.
1547      	Antonio Torquemada publishes the first book on the game of checkers.
1547      	Henry II succeeds Francis I as king of France.
1547      	Henry VIII dies and is succeeded by Edward VI as king of England.
1547      	Ivan IV (the Terrible) is crowned tsar of Russia.
1548      	Francis Xavier founds the Jesuit mission in Japan.
1548      	Sigismund II is crowned King of Poland.
1548      	The Spanish found the city of La Paz in Bolivia.
1548      	Venetian artist Tintoretto paints the Miracle of the Slave.
1549      	English theologian Thomas Cranmer promotes the Book of Common Prayer.
1550      	Commedia dell'arte performances evolve in Italy about this time.
1550      	King Gustav I founds the city of Helsinki in Finland.
1550      	Pedro de Valdivia founds the city of Concepcion in Chile.
1550      	The sport of curling becomes popular in Scotland about his time.
1550      	The violin evolves about this time from the medieval fiddle.
1550      	Tobacco smoking is introduced into Spain and Portugal.
1550      	Vasari writes the Lives of Most Eminent Painters, Sculptors, and Architects.
1550      	Virtually all of Italy comes under the rule of Habsburg emperor Charles V.
1551      	Italian architect Andrea Palladio completes the design of the Villa Rotunda.
1551      	The University of Mexico is founded.
1552      	Ivan IV conquers the Tatar khanate of Kazan.
1553      	Edward VI dies; Lady Jane Grey rules England but is deposed after 9 days.
1553      	Mary I (Bloody Mary) becomes queen of England.
1553      	The Araucanian Indian Lautaro kills Pedro de Valdivia during an uprising in Chile.
1553      	The English Muscovy Company begin the search for a Northeast Passage to the Indies.
1553      	Venetian artist Paolo Veronese paints the ceiling panels of the Doge's Palace.
1554      	Italian composer Palestrina dedicates his Masses to Pope Julius III.
1554      	Mary I, Queen of England, marries Philip, heir to the Spanish throne.
1554      	The Catholic restoration begins in England under Mary I.
1554      	The Turks conquer the Barbary States along the North African coast.
1554      	Tomatoes from South America are cultivated in Europe.
1555      	300 English Protestants are burned at the stake.
1555      	French astrologer Nostradamus publishes the Centuries, a book of predictions.
1555      	The Peace of Augsburg gives German princes a right to chose Catholicism or Lutheranism.
1555      	The building of St. Basil's Cathedral is begun in Moscow.
1556      	Agricola's treatise on mining and metallurgy De re mettalica is published.
1556      	Akbar succeeds Humayun as Mogul emperor.
1556      	An earthquake in China is the worst in history with a death toll of 830,000.
1556      	Charles V abdicates; the Holy Roman Empire is divided between Philip II and Ferdinand I.
1556      	Protestant theologian Thomas Cranmer is executed by Mary I.
1556      	Turkish architect Sinan builds the Suleimaniye Mosque in Constantinople (Istanbul).
1557      	Philip II of Spain defeats the French at Saint Quentin.
1557      	The Portuguese establish a settlement at Macao in China.
1557      	The equals symbol (=) is first used.
1558      	Elizabeth I succeeds Mary I as queen of England.
1558      	Ferdinand I is crowned Holy Roman Emperor.
1558      	Mary, Queen of Scots, marries the French dauphin Francis II.
1558      	The English lose Calais, their last French possession.
1558      	The Trinh and Nguyen divide the Kingdom of Vietnam.
1559      	Calvinist preacher John Knox returns to Scotland to lead the Protestant struggle.
1559      	Pope Paul IV issues the first index of forbidden books.
1559      	The Treaty of Cateau-Cambresis ends the Italian Wars between France and Spain.
1560      	Puritanism begins in England about this time.
1560      	The building of the Uffizi Palace is begun in Florence.
1560      	Tulips are imported into Europe from Turkey about this time.
1561      	Mary, Queen of Scots, returns from France to Scotland.
1561      	Philip II makes Madrid the capital of Spain.
1561      	Ruy Lopez de Segura analyzes chess movements.
1561      	The building of the tomb of Humayun begins in Dehli.
1562      	French Huguenots attempt to colonize Florida.
1562      	Giuseppe Arcimboldo becomes court painter to Maximilian II.
1562      	Religious wars break out in France between Protestant Huguenots and Catholics.
1562      	Sir John Hawkins begins the slave trade between Africa and the West Indies.
1563      	Vientiane becomes the capital of the Lao kingdom (Laos).
1564      	Ivan IV begins a reign of terror in Russia.
1564      	Maximilian II succeeds Ferdinand I as Holy Roman Emperor.
1564      	Spain founds the first European settlement in the U.S. at Saint Augustine in Florida.
1564      	The Spanish found their first colony in the Philippines at Cebu.
1564      	The first horse-drawn coaches come to England from Holland.
1564      	The manufacture of lead (graphite) pencils begins in England.
1565      	Muslims destroy the Hindu capital of Vijayanagar in southern India.
1565      	The Spanish massacre French Huguenot settlers in Florida.
1566      	A revolt begins in the Netherlands against Spanish rule.
1567      	Mary, Queen of Scots, is forced to abdicate in favor of her son James VI.
1567      	The Duque de Alba is sent to the Netherlands to quell the Dutch Revolt.
1567      	The Portuguese oust Huguenot settlers and found the city of Rio de Janeiro in Brazil.
1568      	Flemish painter Bruegel the Elder paints The Blind Leading the Blind.
1568      	Mary, Queen of Scots, is imprisoned in England for 19 years by Elizabeth I.
1568      	Nobunaga seizes Kyoto and begins the reunification of Japan.
1569      	Cartographer Gerardus Mercator uses the first cylindrical projection for a world map.
1569      	Jacques Besson develops the first screw-cutting lathe.
1569      	Mogul emperor Akbar establishes a new capital at Fatehpur Sikri in India.
1569      	The Union of Lublin unites the Polish states under Sigismund II.
1570      	Italian architect Andrea Palladio publishes The Four Books of Architecture.
1570      	Nicholas Hilliard paints a miniature portrait of Elizabeth I.
1570      	The Kanem-Bornu empire flourishes in West Africa.
1571      	A calligraphy manual The Useful Writer is published in Italy.
1571      	The Spanish found the city of Manila in the Philippines.
1571      	The Turks conquer the island of Cyprus.
1571      	The allied fleet of Spain, Venice, and the papacy destroys the Turks at Lepanto.
1572      	Bogota University is founded in Columbia.
1572      	Francisco de Toledo executes Tupac Amaru, ending Inca resistance in Peru.
1572      	Huguenots are massacred in France on St. Bartholomew's Day.
1572      	Sigismund II dies, ending the Jagello dynasty in Poland.
1572      	The Gujarat state is annexed by the Moguls in India.
1573      	An era of castle building begins in Japan during the Momoyama period.
1573      	The potato is brought back from the Americas and cultivated in Spain.
1574      	Henry III is crowned king of France.
1574      	The Turks regain Tunis in North Africa from Spain.
1575      	Indian leader Hiawatha allegedly founds the Iroquois League.
1575      	Stephen Bathory is elected king of Poland.
1576      	Danish astronomer Tycho Brahe builds an observatory on the island of Ven.
1576      	Henry III outlaws Protestantism in France.
1576      	Martin Frobisher commands an expedition to search for a Northwest Passage.
1576      	Rudolf II is crowned Holy Roman Emperor; the imperial court moves to Prague.
1576      	The Dutch provinces unite to drive out the Spanish.
1576      	The first playhouse, the Theater, is erected by actor James Burbage in London.
1577      	English explorer Francis Drake begins his voyage of circumnavigation.
1577      	Ram Das founds the city of Amritsar, a Sikh religious center.
1578      	English dramatist John Lyly writes Euphues, the Anatomy of Wit.
1578      	King Sebastian of Portugal is killed by Muslims at Alcazrquivir in Morocco.
1578      	The Christian catacombs are rediscovered in Rome.
1579      	English explorer Francis Drake discovers San Francisco Bay.
1580      	French writer Michel de Montaigne publishes his Essays.
1580      	Philip II of Spain invades Portugal.
1580      	Witches are persecuted throughout western Europe.
1581      	Beaujoyeux's Ballet Comique de la Reigne is performed in Paris.
1581      	The Dutch Republic is founded after the Union of Utrecht.
1581      	The Russian conquest of Siberia begins with the expedition of Yermak Timofeyevich.
1582      	Geographer Richard Hakluyt publishes an account of the discovery of America.
1582      	The Gregorian calendar is introduced into Catholic countries by Pope Gregory XIII.
1583      	Edinburgh University is founded in Scotland.
1583      	Japanese leader Hideyoshi builds Osaka castle.
1583      	Sir Humphrey Gilbert claims Newfoundland for England.
1584      	Russian tsar Ivan the Terrible dies.
1584      	Walter Raleigh and Richard Grenville organize English colonizing ventures to North America.
1584      	William I, leader of the Dutch Revolt, is assassinated.
1585      	England is at war with Spain (until 1604).
1585      	John Davis discovers Davis Strait between Greenland and North America.
1585      	Roanoke Island in North Carolina is settled as the first English colony in Virginia.
1586      	Mary, Queen of Scots, is found guilty of treason and executed (1587).
1586      	Pipe smoking is introduced into England.
1587      	Francis Drake attacks the Spanish fleet in Cadiz harbor.
1587      	Japanese leader Hideyoshi bans Christian missionaries.
1588      	Christian IV succeeds Frederick II as king of Denmark.
1588      	The Catholic League expels Henry III from Paris.
1588      	The Spanish Armada is defeated by the English navy.
1588      	Timothy Bright composes the first manual of shorthand.
1589      	Galileo Galilei is made professor of mathematics at Pisa.
1589      	Henry III is assassinated; he is succeeded by Henry IV as king of France.
1590      	Christopher Marlowe's drama Tamburlaine the Great is published in London.
1590      	English poet Edmund Spenser begins The Faerie Queene.
1590      	Hideyoshi completes the unification of Japan.
1590      	Viete, inventor of symbolic algebra, writes his Introduction to the Analytic Art.
1590      	William Shakespeare begins writing plays about this time.
1591      	The Roanoke colony dies out in North Carolina.
1591      	The Songhai Empire is destroyed by the Moroccan army.
1592      	Elizabeth I founds Trinity College in Dublin.
1592      	Italian philosopher Giordano Bruno is imprisoned for heresy.
1592      	London theaters are closed because of the plague.
1592      	Playwright Christopher Marlowe writes Doctor Faustus.
1592      	Thomas Kyd writes his revenge play The Spanish Tragedy.
1593      	English theologian Richard Hooker publishes his Laws of Ecclesiastical Polity.
1593      	Henry IV of France converts to Catholicism.
1594      	Henry IV of France captures Paris.
1594      	Jacopo Peri's Dafne, the first opera, is performed in Italy about this time.
1595      	Hugh O'Neill leads a rebellion against the English in Ireland.
1596      	Warsaw is established as the capital of Poland.
1597      	English composer John Dowland publishes his First Booke of Songes.
1597      	Spanish artist El Greco paints The Agony in the Garden.
1598      	Abbas I of Persia (Iran) defeats the Uzbeks at Herat.
1598      	Boris Godunov becomes tsar of Russia; the Time of Troubles begin.
1598      	English playwright Ben Jonson writes Every Man in His Humour.
1598      	John Florio produces an Italian-English dictionary.
1598      	Philip III succeeds Philip II as king of Spain.
1598      	The Edict of Nantes grants French Huguenots equal rights with Catholics.
1599      	The Earl of Essex is imprisoned for negotiating a truce with the Irish rebels.
1599      	The Globe theater is built in London.
1600      	A charter is granted to the East India Company by Queen Elizabeth I.
1600      	Giordano Bruno is burned at the stake in Rome for heretical writing.
1600      	Hans and Zacharias Jannsen construct the first microscope about this time.
1600      	Maurice of Nassau defeats the Austrian army at Nieuport.
1600      	The Baroque period in art and architecture begins in Italy about this time.
1600      	Wigs become fashionable at European courts about this time.
1600      	William Gilbert publishes his treatise on magnetism.
1601      	Italian artist Caravaggio paints the Conversion of St. Paul.
1601      	Jesuit missionary Matteo Ricci arrives in Peking.
1601      	Manchurian leader Nurhachi unites the Manchu tribes under the banner system.
1601      	The Earl of Essex is executed by Elizabeth I after his rebellion fails.
1601      	The Gobelins tapestry factory is established in Paris.
1602      	Abbas I leads Persia (Iran) in a holy war against the Ottoman Turks.
1602      	Bartholomew Gosnold explores the New England coast and names Cape Cod.
1602      	The Bodleian Library, the first public library in Europe, opens in Oxford, England
1602      	The Dutch East India Company is founded.
1603      	Ieyasu founds the Tokugawa shogunate in Japan.
1603      	Queen Elizabeth I dies; she is succeeded by James I (James IV of Scotland).
1603      	The first Kabuki performance is given in Japan.
1603      	William Shakespeare's play Hamlet is performed for the first time.
1604      	A false Dmitry lays claim to the Russian throne during the "Time of Troubles."
1604      	Charles IX is crowned king of Sweden.
1604      	England and Spain are at peace after 19 years of war.
1604      	Flemish artist Carel van Mander publishes a handbook for painters Het Schilderboeck.
1604      	Hieronymus Fabricius writes De formata foctu, a study of human embryology.
1604      	The French East India Company is founded.
1604      	The Spanish capture the Dutch city of Ostend after a 3-year siege.
1605      	English philosopher Francis Bacon publishes The Advancement of Learning.
1605      	Jahangir succeeds Akbar as Mogul emperor of India.
1605      	Spanish writer Cervantes publishes part one of Don Quixote.
1605      	The English claim Barbados in the West Indies.
1605      	The Gunpowder Plot to blow up the English Parliament is discovered.
1605      	The first French settlement in North America is founded at Port Royal in Nova Scotia.
1606      	Ben Jonson's play Volpone is performed for the first time.
1607      	Claudio Monteverdi's first opera Orfeo is performed.
1607      	John Smith founds the first English colony at Jamestown in Virginia.
1608      	Emperor Rudolf II cedes Hungary to his brother Matthias.
1608      	Girolamo Frescobaldi is appointed as organist at St. Peter's in Rome.
1608      	Italian scientist Galileo Galilei assembles an astronomical telescope.
1608      	Samuel de Champlain founds a French settlement in Quebec.
1608      	The first telescope is invented by Dutch optician Hans Lippershey.
1609      	A truce with Spain gives the United Provinces (the Netherlands) virtual independence.
1609      	Johannes Kepler publishes his first law of planetary motion in New Astronomy.
1609      	Spanish playwright Lope de Vega publishes The New Art of Writing Plays.
1609      	The English colonize Bermuda.
1609      	The Spanish found Santa Fe in New Mexico.
1610      	Ben Jonson's play The Alchemist is performed for the first time.
1610      	English navigator Henry Hudson becomes the first European to explore Hudson Bay.
1610      	Galileo Galilei publishes his first stellar observations in The Starry Messenger.
1610      	Henry IV of France is assassinated; he is succeeded by his son Louis XIII.
1610      	Maximilian of Bavaria forms the Catholic League to oppose the Protestant Union.
1610      	The Polish army of Sigismund III invades Russia and captures Moscow.
1611      	An edition of the Bible authorized by King James I is completed in England.
1611      	Christian IV of Denmark declares war on Sweden.
1611      	English and Scottish Protestants settle in Ireland under the Ulster Plantation.
1611      	Gustav II Adolf succeeds Charles IX as king of Sweden.
1612      	John Webster's tragedy The White Devil is produced.
1612      	Matthias succeeds his brother Rudolf II as Holy Roman Emperor.
1613      	Gabor Bethlen becomes Prince of Transylvania.
1613      	Gustav II Adolf ends the War of Kalmar with Denmark and attacks Russia.
1613      	Michael becomes tsar of Russia, founding the Romanov dynasty.
1613      	Virginia colonists destroy French settlements in Maine and Nova Scotia.
1614      	James I dissolves the Addled Parliament in England.
1614      	Pocahontas, a North American Indian princess, marries English settler John Rolfe.
1614      	Scottish mathematician John Napier publishes Marvelous Canon of Logarithms.
1614      	Sir Walter Raleigh writes his History of the World.
1615      	Coffee is introduced into Italy from Turkey.
1615      	Manchu tribes in China expand to eight banners (military regions) under Nurhachi.
1615      	The Dutch seize the Spice Islands (the Moluccas) from the Portuguese.
1615      	The first English language reference is made to tea.
1616      	A smallpox epidemic decimates the Indian population in New England.
1616      	Cardinal Richelieu becomes Minister of State for Foreign Affairs in France.
1616      	Emperor Ieyasu of Japan dies; he is succeeded by his son Hidetada.
1616      	The Catholic church issues an edict against Copernicanism.
1616      	William Baffin searches for the Northwest Passage and discovers Baffin Bay.
1617      	The Treaty of Stolbovo ends the war between Russia and Sweden.
1617      	Tobacco is established as the major industry in North America.
1618      	Conflict between Catholic and Protestant states begins the Thirty Years' War.
1618      	James I orders the execution of Sir Walter Raleigh.
1619      	Dutch ships bring the first Negro slaves to the colony of Virginia.
1619      	Ferdinand II is elected Holy Roman Emperor and king of Bohemia.
1619      	Inigo Jones designs the Banqueting House at Whitehall, London.
1619      	Louis XIII of France defeats the supporters of his mother Maria de Medicis.
1619      	Spanish artist Diego Velazquez paints The Water Seller of Seville.
1619      	The Bohemians depose Ferdinand and elect Frederick V (Elector Palatine) as king.
1620      	Catholic League forces under Graf von Tilly defeat the Bohemians under Frederick V.
1620      	Cornelis Drebbel demonstrates a submarine on the River Thames.
1620      	Ferdinand II is restored to the throne of Bohemia.
1620      	Gustavus II Adolf begins a war with Poland and captures Livonia.
1620      	The Pilgrim Fathers arrive at Cape Cod and found the Plymouth Colony.
1621      	A Huguenot (Protestant) revolt begins against Louis XIII in France.
1621      	English scholar Robert Burton publishes Anatomy of Melancholy.
1621      	Philip IV becomes king of Spain and Portugal.
1621      	The Dutch West India Company is founded.
1621      	War is renewed between Spain and the United Provinces (the Netherlands).
1622      	Indians massacre 347 settlers in Virginia.
1623      	Abbas I, shah of Persia (Iran), captures Bagdhad from the Turks.
1623      	Catholic League and Imperial forces overrun the Palatinate in Germany.
1623      	Diego Velazquez is made court painter to Philip IV of Spain.
1623      	Philosopher Francis Bacon publishes On the Dignity and Growth of Sciences.
1623      	The first English settlement is founded in New Hampshire.
1624      	Dutch artist Frans Hals paints the Laughing Cavalier.
1624      	English poet John Donne publishes Devotions upon Emergent Occasions.
1624      	Flemish chemist Johannes Baptista van Helmont names compressible fluid gas.
1625      	Albrecht Wenzel von Wallenstein is made general of Ferdinand II's Imperial armies.
1625      	Charles I succeeds James I as king of England.
1625      	Flemish baroque artist Peter Paul Rubens paints The Judgement of Paris.
1625      	Peter Minuit founds the Dutch colony of New Amsterdam (now New York).
1625      	The Spanish capture Breda from the Dutch.
1626      	Graf von Tilly's Catholic army routs the Danes under Christian IV.
1626      	Imperial forces under Wallenstein defeat Graf von Mansfield at Dessau.
1626      	The Dutch purchase Manhattan Island from the Indians for the equivalent of $24.
1627      	Shah Jahan succeeds Jahangir as Mogul emperor of India.
1627      	The Huguenots (Protestants) revolt against Cardinal Richelieu at La Rochelle.
1627      	The Manchus (Ch'ing) begin their conquest of Korea.
1628      	English physician William Harvey publishes On the Motions of the Heart and Blood.
1628      	French philosopher Rene Descartes begins Rules For the Direction of the Mind.
1628      	King Charles I is forced to accept Parliament's Petition of Right.
1628      	Puritans under John Endecott settle at Salem in Massachusetts.
1628      	The Duke of Buckingham, a supporter of the French Huguenots, is assassinated.
1628      	The Huguenots surrender La Rochelle after a 14-month siege.
1629      	Charles I dissolves Parliament and rules England directly.
1629      	Ferdinand II's Edict of Restitution restores Catholic properties taken by Protestants.
1630      	Bhutan becomes independent from Tibet about this time.
1630      	Dutch landscape artist Salomon van Ruisdael paints River Landscape.
1630      	Gustav II Adolf invades Germany in support of the Protestant cause.
1630      	John Winthrop founds a Puritan settlement at Boston in Massachusetts.
1630      	Spanish artist Francisco de Zubaran paints the Holy House of Nazareth.
